#group,false,false,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,double,double,double,double,double,double,double,double,double
#default,_result,,,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,host,topic,altitude,filtered_a,filtered_s,filtered_v,gx,gy,gz,latitude,longitude,state,temperature
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.730007053Z,mqtt_consumer,b3c2aae627c0,esp32/message,1274.402,0.432,1274.018,1.154,-0.071,-0.002,-0.013,0.31292099,37.51375198,0,33.701
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.783738112Z,mqtt_consumer,b3c2aae627c0,esp32/message,1274.398,0.614,1274.715,1.663,-0.373,-0.08,-0.02,0.31292099,37.51375198,0,33.686
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.843698069Z,mqtt_consumer,b3c2aae627c0,esp32/message,1274.398,0.614,1274.715,1.663,-0.373,-0.08,-0.02,0.31292099,37.51375198,0,33.686
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.867472657Z,mqtt_consumer,b3c2aae627c0,esp32/message,1278.931,0.862,1275.88,2.411,0.188,-0.311,-0.055,0.31292099,37.51375198,0,33.668
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:57.947792618Z,mqtt_consumer,b3c2aae627c0,esp32/message,1278.931,0.862,1275.88,2.411,0.188,-0.311,-0.055,0.31292099,37.51375198,0,33.668
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.057491264Z,mqtt_consumer,b3c2aae627c0,esp32/message,1278.931,0.862,1275.88,2.411,0.188,-0.311,-0.055,0.31292099,37.51375198,0,33.668
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.057547164Z,mqtt_consumer,b3c2aae627c0,esp32/message,1278.961,1.098,1277.016,3.137,0.679,-0.632,-0.045,0.31292099,37.51375198,0,33.63
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.064171239Z,mqtt_consumer,b3c2aae627c0,esp32/message,1278.961,1.098,1277.016,3.137,0.679,-0.632,-0.045,0.31292099,37.51375198,0,33.63
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.0642395Z,mqtt_consumer,b3c2aae627c0,esp32/message,1287.699,1.405,1278.876,4.18,0.994,-0.981,-0.084,0.31292099,37.51375198,0,33.601
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.064307244Z,mqtt_consumer,b3c2aae627c0,esp32/message,1287.699,1.405,1278.876,4.18,0.994,-0.981,-0.084,0.31292099,37.51375198,0,33.601
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.088037016Z,mqtt_consumer,b3c2aae627c0,esp32/message,1287.699,1.692,1280.669,5.175,0.904,-1.398,-0.189,0.31292099,37.51375198,0,33.577
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.142609532Z,mqtt_consumer,b3c2aae627c0,esp32/message,1287.699,1.692,1280.669,5.175,0.904,-1.398,-0.189,0.31292099,37.51375198,0,33.577
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.17663861Z,mqtt_consumer,b3c2aae627c0,esp32/message,1287.699,1.692,1280.669,5.175,0.904,-1.398,-0.189,0.31292099,37.51375198,0,33.577
,,0,2022-11-23T14:40:56Z,2022-11-23T14:40:59Z,2022-11-23T14:40:58.206933106Z,mqtt_consumer,b3c2aae627c0,esp32/message,1287.776,1.961,1282.402,6.125,0.07,-1.818,-0.317,0.31292099,37.51375198,1,33.565
